B73V4_ctg182	458832	1	57443157	+
B73V4_ctg182	474177	1	57486385	+
B73V4_ctg182	516538	1	57496657	+
B73V4_ctg182	631843	1	57563910	+
B73V4_ctg182	664090	1	57575868	+
B73V4_ctg182	729639	1	57590062	+
B73V4_ctg182	945691	1	72600603	-
B73V4_ctg182	953004	1	57346992	-
B73V4_ctg182	1051027	1	57271878	-
B73V4_ctg182	1206837	3	9053305	+
B73V4_ctg182	1230822	1	57215397	-
B73V4_ctg10	94253	1	53141492	+
B73V4_ctg10	155739	4	4072735	-
B73V4_ctg10	292300	1	53160019	+
B73V4_ctg10	480283	1	53407209	+
B73V4_ctg10	518227	5	69360956	-
B73V4_ctg10	518227	4	67749764	-
B73V4_ctg10	518227	8	62684043	+
B73V4_ctg10	605863	4	4497208	+
B73V4_ctg10	633830	*	0	-
B73V4_ctg10	655391	3	2126750	+
B73V4_ctg10	655391	3	5114656	+
B73V4_ctg10	676060	1	74149381	+
B73V4_ctg10	839040	*	0	-
B73V4_ctg10	856578	1	53454449	-
B73V4_ctg31	359763	6	56105087	+
B73V4_ctg31	359763	2	65393136	-
B73V4_ctg31	537761	3	10673711	+
B73V4_ctg31	537761	1	80584694	+
B73V4_ctg31	540373	*	0	-
B73V4_ctg31	542102	*	0	-
B73V4_ctg31	602596	6	52270004	-
B73V4_ctg31	604646	8	3849092	+
B73V4_ctg31	604646	10	58243614	-
B73V4_ctg31	685972	8	3578643	+
B73V4_ctg31	685972	5	3572416	+
B73V4_ctg31	721884	8	3548643	+
B73V4_ctg31	721884	5	3532699	+
B73V4_ctg31	775860	1	12562415	-
B73V4_ctg31	791577	*	0	-
B73V4_ctg91	391959	2	72824969	+
B73V4_ctg91	576085	4	53838176	-
B73V4_ctg91	664683	*	0	-
B73V4_ctg91	665537	*	0	-
B73V4_ctg52	19930	7	5464359	+
B73V4_ctg52	21320	5	6940684	+
B73V4_ctg52	21320	5	6914562	+
B73V4_ctg52	51214	2	18011369	+
B73V4_ctg52	51214	4	7599770	+
B73V4_ctg52	51214	4	12375404	-
B73V4_ctg52	51214	1	77368925	+
B73V4_ctg52	51214	10	16908795	+
B73V4_ctg52	51214	4	40857129	+
B73V4_ctg52	51214	1	54435021	+
B73V4_ctg52	51214	1	80838696	+
B73V4_ctg52	51214	1	12524447	+
B73V4_ctg52	51214	10	37970907	-
B73V4_ctg52	51214	8	7739590	+
B73V4_ctg52	51214	7	52673984	-
B73V4_ctg52	51214	8	62660776	+
B73V4_ctg52	51214	9	40554085	+
B73V4_ctg52	187986	5	7022261	+
B73V4_ctg52	317993	5	3626432	-
B73V4_ctg52	317993	3	69630766	-
B73V4_ctg52	317993	5	3644913	+
B73V4_ctg52	317993	5	55391685	+
B73V4_ctg52	317993	5	3631550	-
B73V4_ctg52	317993	2	71782312	+
B73V4_ctg52	346937	5	7185091	+
B73V4_ctg52	429347	1	71349390	-
B73V4_ctg52	578562	*	0	-
B73V4_ctg142	68137	4	51532132	-
B73V4_ctg142	408174	3	9918826	+
B73V4_ctg142	408174	3	70281632	-
B73V4_ctg142	408174	5	69262425	+
B73V4_ctg142	542739	4	51686780	+
B73V4_ctg142	542739	6	47603886	+
B73V4_ctg142	542739	10	54816463	-
B73V4_ctg142	542739	3	59799782	+
B73V4_ctg142	632306	1	1573314	-
B73V4_ctg142	632306	9	45766525	-
B73V4_ctg56	100411	6	42350683	+
B73V4_ctg56	252289	6	42397395	+
B73V4_ctg56	252289	4	51074346	+
B73V4_ctg56	342648	6	42411554	+
B73V4_ctg56	517290	6	42427672	+
B73V4_ctg65	75416	8	55236183	+
B73V4_ctg65	290677	8	55220180	-
B73V4_ctg65	495002	8	55255472	+
B73V4_ctg65	619951	*	0	-
B73V4_ctg65	630898	8	55198555	-
B73V4_ctg193	316037	*	0	-
B73V4_ctg75	356241	8	3578643	-
B73V4_ctg75	356241	5	3572416	-
B73V4_ctg75	455266	1	13306389	-
B73V4_ctg75	455266	1	13306395	-
B73V4_ctg75	455266	6	56580095	+
B73V4_ctg75	477512	1	12562617	+
B73V4_ctg53	105994	5	11190816	-
B73V4_ctg53	105994	8	61296063	-
